text,intent
What is Python?,basic_python
How to start learning Python?,basic_python
Is Python good for beginners?,basic_python
What can I do with Python?,basic_python
Python vs other languages,basic_python
How do I install Python?,installation
How to download Python?,installation
Python installation steps,installation
Install Python on Windows,installation
Python setup on Mac,installation
Best Python IDE,ide_setup
How to setup PyCharm,ide_setup
VS Code for Python,ide_setup
Python editor recommendation,ide_setup
Jupyter notebook setup,ide_setup
Python list syntax,syntax
How to write functions,syntax
Python class definition,syntax
Dictionary syntax,syntax
Loop examples in Python,syntax
ImportError help,error_handling
Fix IndentationError,error_handling
TypeError solution,error_handling
ModuleNotFoundError,error_handling
Runtime error help,error_handling
How to install NumPy,libraries
Using Pandas library,libraries
TensorFlow installation,libraries
Matplotlib tutorial,libraries
scikit-learn guide,libraries
